Sr No,Date,Startup,Vertical,SubVertical,City,Investors,Investment Round,Amount in INR(cr)
909,2017-04-24,niramai,Healthcare,A Doctor-Patient Engagement Platform,bangalore,"pi ventures, a ventures, 500 startups, binny bansal",seed funding,
910,2017-04-25,the office pass,Consumer Internet,Online Lending Platform,gurgaon,"arun tadanki, aditya verma",seed funding,2.12
911,2017-04-25,urbanclap,Consumer Internet,Online Lending Platform,gurgaon,trifecta capital,private equity,26.85
912,2017-04-26,awfis,Consumer Internet,Online Lending Platform,mumbai,sequoia india,private equity,173.2
913,2017-04-26,myra,Consumer Internet,Online Lending Platform,bangalore,"times internet,matrix partners",private equity,
914,2017-04-26,flytxt,Technology,Data Analytics Platform,mumbai,dah beteiligungs gmbh,private equity,95.26
915,2017-04-26,howdy ventures,Consumer Internet,Online Lending Platform,chennai,s.  britto,seed funding,12.99
916,2017-04-26,stalkbuylove,E-commerce,Online Pharmacy,delhi,trifecta capital,private equity,8.66
917,2017-04-26,zipgo,Consumer Internet,Online Lending Platform,bangalore,"orios ventures partners, team builder ventures, omidyar networks",private equity,
918,2017-04-27,scootsy,Consumer Internet,Online Lending Platform,mumbai,"agnus capital, khattar holdings",private equity,31.18
919,2017-04-27,autobix,Technology,Data Analytics Platform,pune,gardx international,seed funding,
920,2017-04-27,eshiksha,Technology,Data Analytics Platform,jaipur,cross border angels & e,seed funding,
921,2017-04-27,inurture,Consumer Internet,Online Lending Platform,bangalore,blacksoil capital pvt. ltd,private equity,12.99
922,2017-04-28,sepalika,Consumer Internet,Online Lending Platform,delhi,accel partners,seed funding,6.49
923,2017-04-28,mintwalk,Consumer Internet,Online Lending Platform,mumbai,poshika financial ecosystem,seed funding,
924,2017-04-29,qriyo,Consumer Internet,Online Lending Platform,jaipur,nb ventures,private equity,
925,2017-03-01,ola,Consumer Internet,Online Lending Platform,bangalore,softbank group corp,private equity,2857.8
926,2017-03-01,belong,Consumer Internet,Online Lending Platform,bangalore,sequoia capital india,private equity,86.6
927,2017-03-01,seenit,Consumer Internet,Online Lending Platform,kolkata,"calcutta angels network (can), augment ventures",seed funding,
928,2017-03-01,paalak,E-commerce,Online Pharmacy,delhi,"vishwadeep bajaj, harsh kundra, nandkumar rane, ln buddharaju, anupam tyagi",seed funding,
929,2017-03-02,celes care,Consumer Internet,Online Lending Platform,hyderabad,"ventureast, endiya partners, eight roads ventures, f-prime capital partners",private equity,12.99
930,2017-03-02,karomi,Technology,Data Analytics Platform,chennai,ideaspring capital,seed funding,4.33
931,2017-03-02,red carpet,Consumer Internet,Online Lending Platform,gurgaon,lightspeed venture partners,private equity,21.65
932,2017-03-02,kreate konnect,Technology,Data Analytics Platform,vadodara,langoor,seed funding,
933,2017-03-02,creditmantri,Consumer Internet,Online Lending Platform,chennai,quona capital,private equity,65.82
934,2017-03-03,lets endorse,Consumer Internet,Online Lending Platform,bangalore,"chandigarh angels network, social alpha and other unnamed angel investors",seed funding,
935,2017-03-03,tydy,Technology,Data Analytics Platform,bangalore,"bhupen shah, jayesh parekh, sanjay sathe",seed funding,2.38
936,2017-03-03,nactus,Consumer Internet,Online Lending Platform,jaipur,"sandeep aggarwal, gautam chhaochharia, r balachandar",seed funding,
937,2017-03-03,oho shop,Technology,Data Analytics Platform,ahmedabad,"bennett, coleman and company ltd",private equity,58.02
938,2017-03-03,emojifi,Consumer Internet,Online Lending Platform,hyderabad,undisclosed angel investors,seed funding,
939,2017-03-03,paytm marketplace,E-commerce,Online Pharmacy,bangalore,alibaba,private equity,1732.0
940,2017-03-04,igenetics,Healthcare,A Doctor-Patient Engagement Platform,mumbai,cdc group plc,private equity,168.87
941,2017-03-06,juno clinic,Consumer Internet,Online Lending Platform,mumbai,atul nishar,seed funding,10.39
942,2017-03-06,summerlabel,Consumer Internet,Online Lending Platform,gurgaon,"aneesh seth, tushar mittal",seed funding,1.3
943,2017-03-06,pickme,Consumer Internet,Online Lending Platform,mumbai,sidbi venture capital fund,private equity,15.5
944,2017-03-07,agrostar,Technology,Data Analytics Platform,pune,accel partners,private equity,86.6
945,2017-03-07,zapr,Technology,Data Analytics Platform,bangalore,star india pvt ltd,private equity,86.6
946,2017-03-07,data resolve,Technology,Data Analytics Platform,noida,idfc parampara early stage opportunities fund,private equity,8.66
947,2017-03-07,book servicing,Consumer Internet,Online Lending Platform,delhi,national science and technology entrepreneurship development board,seed funding,0.26
948,2017-03-07,blowhorn,Consumer Internet,Online Lending Platform,bangalore,"idg ventures india, michael & susan dell foundation, draper associates, unitus seed fund",private equity,31.61
949,2017-03-08,rivigo,Logistics,B2B Logistics Provider,gurgaon,private sector banks (debt funding),private equity,129.9
950,2017-03-08,pipecandy,Technology,Data Analytics Platform,chennai,"idg ventures, a ventures, emergent ventures, indian angel network",seed funding,9.53
951,2017-03-08,supr daily,Consumer Internet,Online Lending Platform,mumbai,y combinator,seed funding,1.04
952,2017-03-08,parentune,Consumer Internet,Online Lending Platform,gurgaon,"kae capital, segnel ventures",private equity,
953,2017-03-09,appbrowzer,Consumer Internet,Online Lending Platform,bangalore,deepak gurnani,seed funding,4.33
954,2017-03-09,magicbricks,Consumer Internet,Online Lending Platform,mumbai,times internet ltd,private equity,38.97
955,2017-03-10,peebuddy,Healthcare,A Doctor-Patient Engagement Platform,delhi,indian angel network,seed funding,3.84
956,2017-03-10,iorderfresh,E-commerce,Online Pharmacy,delhi,singapore angel network,seed funding,
957,2017-03-10,lavelle networks,Technology,Data Analytics Platform,bangalore,ideaspring capital,seed funding,5.2
958,2017-03-10,propertyshare,Consumer Internet,Online Lending Platform,bangalore,"asuka, pravega ventures, beenext",seed funding,
959,2017-03-14,mydermacy,Consumer Internet,Online Lending Platform,delhi,cyber carrier,private equity,
960,2017-03-15,latestone,E-commerce,Online Pharmacy,hyderabad,"florintree, mathew cyriac, chidambaram palaniappan, bharat sheth",private equity,29.01
961,2017-03-15,frapperz,Consumer Internet,Online Lending Platform,kolkata,undisclosed investor,seed funding,0.87
962,2017-03-16,mpaani,Consumer Internet,Online Lending Platform,mumbai,"idg ventures, blume ventures, saha fund,",private equity,11.69
963,2017-03-16,shilpmis,Technology,Data Analytics Platform,surat,"puneet gupta, nimitt desai & others",seed funding,
964,2017-03-16,popxo,Consumer Internet,Online Lending Platform,delhi,"gree ventures, kalaari capital and idg ventures india, summit media, atul goel, and gurpreet singh",private equity,26.85
965,2017-03-16,fitso,Consumer Internet,Online Lending Platform,gurgaon,"sujeet kumar, bhupender singh, yashish dhaiya",seed funding,1.73
966,2017-03-17,farmart,Technology,Data Analytics Platform,gurgaon,indian angel network,seed funding,
967,2017-03-21,flipkart,E-commerce,Online Pharmacy,bangalore,"microsoft, ebay, tencent holdings",private equity,12124.0
968,2017-03-21,airpay,Technology,Data Analytics Platform,mumbai,"kalaari capital, rakesh and rajesh jhunjhunwala",private equity,31.78
969,2017-03-21,myglamm,Consumer Internet,Online Lending Platform,mumbai,l,private equity,45.9
970,2017-03-22,the mons co.,E-commerce,Online Pharmacy,delhi,"shripad nadkarni, nandu nandkishore",seed funding,
971,2017-03-22,haqdarshak,Consumer Internet,Online Lending Platform,bangalore,"ravi sa, sandeep raju,",seed funding,1.65
972,2017-03-23,ixigo,Consumer Internet,Online Lending Platform,gurgaon,"sequoia capital, kinzon capital",private equity,129.9
973,2017-03-23,markets and markets,Technology,Data Analytics Platform,pune,"ftv capital, zodius capital",private equity,484.96
974,2017-03-24,bizom,Technology,Data Analytics Platform,bangalore,ojas ventures,seed funding,3.31
975,2017-03-24,babyonboard,Consumer Internet,Online Lending Platform,bangalore,"mahavir sharma, vishal jain, rohit sethi, gaurav luniya",seed funding,
976,2017-03-24,delhivery,Technology,Data Analytics Platform,delhi,"carlyle group, tiger global",private equity,866.0
977,2017-03-27,sport flashes,Consumer Internet,Online Lending Platform,delhi,"vikas bajaj, amit kharbanda,",seed funding,
978,2017-03-28,fynd,E-commerce,Online Pharmacy,mumbai,venture catalysts,private equity,4.33
979,2017-03-28,wigzo,Technology,Data Analytics Platform,delhi,3one4 capital,private equity,
980,2017-03-28,donething,Consumer Internet,Online Lending Platform,gurgaon,brand capital,private equity,2.6
981,2017-03-29,zapyle,E-commerce,Online Pharmacy,bangalore,undisclosed investors,seed funding,
982,2017-03-29,ithaka,Consumer Internet,Online Lending Platform,mumbai,"ankit gupta, puneet motihar",seed funding,2.81
983,2017-03-29,perpule,E-commerce,Online Pharmacy,bangalore,kstart capital,seed funding,5.63
984,2017-03-29,byju's,Consumer Internet,Online Lending Platform,bangalore,verlinvest,private equity,
985,2017-03-29,licious,E-commerce,Online Pharmacy,bangalore,"mayfield india, 3one4 capital, sistema asia fund, neoplux technology fund",private equity,86.6
986,2017-03-29,medinfi,Consumer Internet,Online Lending Platform,bangalore,"vinod martin, hemant kaul, prof. ram kumar kakani & others",seed funding,0.43
987,2017-03-30,indus os,Technology,Data Analytics Platform,mumbai,"jsw ventures, ventureast",private equity,
988,2017-03-30,emflux motors,Technology,Data Analytics Platform,bangalore,"meher roy, nikhil arora, meet kanodia, krit sankalp, nitish singh, risabh gupta",seed funding,
989,2017-03-30,klinic app,Consumer Internet,Online Lending Platform,gurgaon,om chaudhry,seed funding,
990,2017-03-31,jhakaas,Consumer Internet,Online Lending Platform,mumbai,"malini patel, stelcore management services, anjani prasad",seed funding,1.34
991,2017-03-31,oriano solar,Technology,Data Analytics Platform,mumbai,samridhi fund,private equity,25.98
992,2017-03-31,bigbasket,E-commerce,Online Pharmacy,bangalore,trifecta capital,private equity,60.62
993,2017-03-31,rooter,Consumer Internet,Online Lending Platform,delhi,intex technologies,private equity,
994,2017-03-31,falconbrick,Technology,Data Analytics Platform,bangalore,"satveer thakral, letsventure, mumbai angels",seed funding,
995,2017-03-31,icertis,Technology,Data Analytics Platform,pune,"b capital group, ignition partners, greycroft, e.ventures, eight roads ventures",private equity,216.5
996,2017-02-02,clodura,Technology,Data Analytics Platform,pune,undisclosed investors,seed funding,
997,2017-02-03,stockroom,Consumer Internet,Online Lending Platform,hyderabad,"satya d sinha, gyanendra singh",seed funding,
998,2017-02-06,capital float,Consumer Internet,Online Lending Platform,bangalore,ifmr capital finance,private equity,21.65
999,2017-02-06,imanagemyhotel,Technology,Data Analytics Platform,kolkata,jaarvis accelerator,seed funding,
1000,2017-02-07,inner hour,Consumer Internet,Online Lending Platform,mumbai,"batlivala & karani securities, venture works",seed funding,3.9
1001,2017-02-07,travel triangle,Consumer Internet,Online Lending Platform,noida,"rb investments, saif partners, bessemer venture partners",private equity,86.6
1002,2017-02-08,wandertrails,Consumer Internet,Online Lending Platform,bangalore,earlsfield capital,seed funding,8.66
1003,2017-02-08,zenatix,Technology,Data Analytics Platform,gurgaon,"pi ventures, blume ventures",private equity,10.39
1004,2017-02-08,cartrade,Consumer Internet,Online Lending Platform,mumbai,temasek holdings,private equity,476.3
1005,2017-02-08,mindyourfleet,Technology,Data Analytics Platform,noida,"japan vyas, tarun adlakha",seed funding,
1006,2017-02-08,edurev,Consumer Internet,Online Lending Platform,gurgaon,facebook fb start programme,seed funding,0.35
1007,2017-02-09,voonik,E-commerce,Online Pharmacy,bangalore,"rb investments, sequoia capital",private equity,51.96
1008,2017-02-09,1crowd,Finance,Online Lending Platform,mumbai,ganesh natarajan,seed funding,
1009,2017-02-09,wooplr,E-commerce,Online Pharmacy,bangalore,"sistema asia fund, amereus group, helion ventures",private equity,69.28
1010,2017-02-10,48east,E-commerce,Online Pharmacy,bangalore,al dhaheri family,private equity,4.33
1011,2017-02-10,redesyn,Consumer Internet,Online Lending Platform,mumbai,thinqbate,seed funding,
1012,2017-02-13,sigtuple,Technology,Data Analytics Platform,bangalore,"accel partners, idg ventures, endiya partners, pi ventures, vh capital, a partners",private equity,50.23
1013,2017-02-13,flutura,Technology,Data Analytics Platform,bangalore,"vertex ventures, lumis partners",private equity,64.95
1014,2017-02-13,wassup,Consumer Internet,Online Lending Platform,chennai,anil jain & other hnis,private equity,27.71
1015,2017-02-13,better mortgage,Consumer Internet,Online Lending Platform,gurgaon,"kleiner perkins, goldman sachs, pine brook",private equity,129.9
1016,2017-02-13,nurturey,Consumer Internet,Online Lending Platform,delhi,mohit joshi & others,seed funding,2.86
1017,2017-02-13,fyle,Technology,Data Analytics Platform,bangalore,pravega ventures,seed funding,3.46
1018,2017-02-14,gobumpr,Consumer Internet,Online Lending Platform,chennai,"mahalingam k, girish mathrubootham",seed funding,2.6
1019,2017-02-14,ccavenue,Consumer Internet,Online Lending Platform,mumbai,infibeam,private equity,193.98
1020,2017-02-14,connaizen,Technology,Data Analytics Platform,delhi,vikram sud,seed funding,
1021,2017-02-15,innov8,Consumer Internet,Online Lending Platform,delhi,"vijay shekhar sharma, rajan anandan, kunal shah, girish mathrubootham, punit soni, anand chandrasekaran, sunil kalra, utsav somani, vishal gondal, vikram limaye",seed funding,
1022,2017-02-15,zestmoney,Consumer Internet,Online Lending Platform,bangalore,"payu, ribbit capital, omidyar network",private equity,56.29
1023,2017-02-15,airzaar,Technology,Data Analytics Platform,out of india,quake capital,seed funding,3.03
1024,2017-02-16,truebil,Consumer Internet,Online Lending Platform,mumbai,shunwei capital,private equity,25.98
1025,2017-02-16,yourstory,Consumer Internet,Online Lending Platform,bangalore,"kalaari capital partners, qualcomm, 3one4 capital advisors, uc-rnt",private equity,25.98
1026,2017-02-17,imaginate,Technology,Data Analytics Platform,hyderabad,sri capital,seed funding,4.33
1027,2017-02-17,the ken,Consumer Internet,Online Lending Platform,bangalore,"aprameya radhakrishna, deepak natraj, girish mathrubootham, mahesh murthy, pallav nadhani, pavan ongole, sandeep mathur, vijay shekhar sharma & others",seed funding,3.46
1028,2017-02-17,urban ladder,E-commerce,Online Pharmacy,bangalore,"kalaari capital, saif partners, steadview capital, sequoia capital",private equity,131.63
1029,2017-02-17,aisle,Consumer Internet,Online Lending Platform,bangalore,"konglo ventures, white unicorn ventures, letsventure",seed funding,
1030,2017-02-17,townscript,Consumer Internet,Online Lending Platform,pune,bookmyshow,private equity,
1031,2017-02-17,leopetra,E-commerce,Online Pharmacy,mumbai,facebook fbstart,seed funding,0.35
